Simulationsschritt	Durchschnittsdichte
0	1.00084
1	1.00083
2	1.00082
3	1.00081
4	1.0008
5	1.00079
6	1.00078
7	1.00077
8	1.00076
9	1.00075
10	1.00074
11	1.00073
12	1.00073
13	1.00072
14	1.00071
15	1.0007
16	1.0007
17	1.0007
18	1.00069
19	1.00069
20	1.00068
21	1.00068
22	1.00068
23	1.00068
24	1.00067
25	1.00067
26	1.00067
27	1.00067
28	1.00067
29	1.00067
30	1.00067
31	1.00068
32	1.00068
33	1.00068
34	1.00069
35	1.00069
36	1.00069
37	1.0007
38	1.0007
39	1.00071
40	1.00071
41	1.00072
42	1.00072
43	1.00073
44	1.00074
45	1.00075
46	1.00075
47	1.00076
48	1.00077
49	1.00078
50	1.00079
51	1.0008
52	1.00081
53	1.00082
54	1.00083
55	1.00084
56	1.00085
57	1.00087
58	1.00088
59	1.00089
60	1.0009
61	1.00092
62	1.00093
63	1.00095
64	1.00096
65	1.00098
66	1.001
67	1.00101
68	1.00103
69	1.00105
70	1.00106
71	1.00108
72	1.0011
73	1.00111
74	1.00112
75	1.00114
76	1.00115
77	1.00116
78	1.00117
79	1.00119
80	1.0012
81	1.00121
82	1.00122
83	1.00123
84	1.00124
85	1.00125
86	1.00126
87	1.00126
88	1.00127
89	1.00128
90	1.00128
91	1.00129
92	1.00129
93	1.00129
94	1.0013
95	1.0013
96	1.0013
97	1.0013
98	1.0013
99	1.0013
100	1.0013
101	1.0013
102	1.0013
103	1.0013
104	1.0013
105	1.00129
106	1.00129
107	1.00129
108	1.00128
109	1.00128
110	1.00127
111	1.00127
112	1.00126
113	1.00125
114	1.00125
115	1.00124
116	1.00123
117	1.00122
118	1.00121
119	1.00121
120	1.0012
121	1.00119
122	1.00118
123	1.00118
124	1.00118
125	1.00118
126	1.00118
127	1.00118
128	1.00119
129	1.00119
130	1.0012
131	1.0012
132	1.0012
133	1.0012
134	1.0012
135	1.00121
136	1.00121
137	1.00121
138	1.00121
139	1.00121
140	1.00122
141	1.00122
142	1.00122
143	1.00122
144	1.00122
145	1.00123
146	1.00123
147	1.00123
148	1.00122
149	1.00123
150	1.00123
151	1.00123
152	1.00123
153	1.00123
154	1.00123
155	1.00123
156	1.00124
157	1.00124
158	1.00124
159	1.00124
160	1.00124
161	1.00124
162	1.00124
163	1.00125
164	1.00125
165	1.00125
166	1.00125
167	1.00124
168	1.00124
169	1.00124
170	1.00123
171	1.00123
172	1.00122
173	1.00122
174	1.00121
175	1.0012
176	1.0012
177	1.00119
178	1.00118
179	1.00117
180	1.00116
181	1.00115
182	1.00114
183	1.00112
184	1.00112
185	1.00111
186	1.0011
187	1.00108
188	1.00107
189	1.00106
190	1.00105
191	1.00103
192	1.00102
193	1.001
194	1.00099
195	1.00097
196	1.00096
197	1.00094
198	1.00093
199	1.00091
200	1.00089
201	1.00088
202	1.00086
203	1.00085
204	1.00084
205	1.00082
206	1.00081
207	1.0008
208	1.00079
209	1.00078
210	1.00077
211	1.00076
