Iteration	Durchschnittsdichte
1	0.990918
2	0.990893
3	0.990858
4	0.990511
5	0.990531
6	0.990533
7	0.990711
8	0.990307
9	0.990381
10	0.990669
11	0.99067
12	0.990665
13	0.990675
14	0.990698
15	0.990732
16	0.990766
17	0.990609
18	0.990581
19	0.989993
20	0.990578
21	0.990902
22	0.991084
23	0.991026
24	0.991102
25	0.991103
26	0.9911
27	0.991089
28	0.991075
29	0.991049
30	0.991024
31	0.990993
32	0.99096
33	0.990931
34	0.990911
35	0.990896
36	0.990886
37	0.990888
38	0.990896
39	0.990917
40	0.990947
41	0.990983
42	0.99102
43	0.991057
44	0.991084
45	0.991094
46	0.991089
47	0.991072
48	0.991048
49	0.991024
50	0.990992
51	0.990952
52	0.990902
53	0.990848
54	0.990797
55	0.990754
56	0.990715
57	0.990684
58	0.990656
59	0.990631
60	0.990319
61	0.990521
62	0.990465
63	0.990482
64	0.990655
65	0.990597
66	0.990712
67	0.990649
68	0.990761
69	0.990636
70	0.990658
71	0.990821
72	0.990828
73	0.990822
74	0.990812
75	0.990794
76	0.990777
77	0.99076
78	0.990743
79	0.99073
80	0.990722
81	0.990717
82	0.99072
83	0.990729
84	0.990744
85	0.990763
86	0.990791
87	0.990828
88	0.990872
89	0.990922
90	0.990973
91	0.991014
92	0.991049
93	0.991073
94	0.991088
95	0.991097
96	0.9911
97	0.991096
98	0.991087
99	0.991072
100	0.991057
101	0.99104
102	0.991022
103	0.991003
104	0.990982
105	0.990958
106	0.99094
107	0.990926
108	0.990922
109	0.990928
110	0.990943
111	0.990961
112	0.990977
113	0.99099
114	0.990993
115	0.99099
116	0.990979
117	0.990966
118	0.99095
119	0.990784
120	0.990909
121	0.990882
122	0.99085
123	0.990816
124	0.990782
125	0.990744
126	0.99071
127	0.990675
128	0.990646
129	0.990624
130	0.990609
131	0.990601
132	0.9906
133	0.990603
134	0.990613
135	0.990626
136	0.99064
137	0.990659
138	0.990681
139	0.990705
140	0.99073
141	0.990754
142	0.990774
143	0.990786
144	0.990792
145	0.990793
146	0.990788
147	0.990782
148	0.990779
149	0.990776
150	0.990777
151	0.990785
152	0.990794
153	0.990809
154	0.990678
155	0.990845
156	0.990865
157	0.990888
158	0.990915
159	0.990946
160	0.990979
161	0.99101
162	0.991041
163	0.991066
164	0.99108
165	0.99109
166	0.991091
167	0.991089
168	0.991085
169	0.99108
170	0.991073
171	0.991064
172	0.991051
173	0.991035
174	0.991015
175	0.990994
176	0.990974
177	0.990958
178	0.990944
179	0.990933
180	0.990928
181	0.990924
182	0.990924
183	0.990925
184	0.990922
185	0.990916
186	0.990754
187	0.990888
188	0.990871
189	0.990854
190	0.990836
191	0.990818
192	0.990796
193	0.990772
194	0.990744
195	0.990716
196	0.990691
197	0.990668
198	0.990649
199	0.990635
200	0.990624
201	0.990619
202	0.990619
203	0.990624
204	0.990635
205	0.990651
206	0.99067
207	0.990689
208	0.990709
209	0.990728
210	0.990539
211	0.990768
212	0.990787
213	0.990801
214	0.990812
215	0.990818
216	0.990823
217	0.990826
218	0.990831
219	0.990839
220	0.990851
221	0.990862
222	0.990874
