Iteration	Durchschnittsdichte
1	0.990918
2	0.991202
3	0.99193
4	0.993267
5	0.995323
6	0.998172
7	1.00179
8	1.00601
9	1.01111
10	1.01693
11	1.02359
12	1.03084
13	1.03883
14	1.04749
15	1.0563
16	1.06705
17	1.07758
18	1.08851
19	1.09958
20	1.10997
21	1.11958
22	1.12814
23	1.13553
24	1.14179
25	1.14699
26	1.15121
27	1.15444
28	1.15672
29	1.158
30	1.15826
31	1.1575
32	1.15568
33	1.15285
34	1.14856
35	1.1442
36	1.13855
37	1.13209
38	1.12486
39	1.11691
40	1.10834
41	1.09927
42	1.08981
43	1.08009
44	1.07028
45	1.06055
46	1.05108
47	1.04209
48	1.0337
49	1.02605
50	1.01919
51	1.0131
52	1.00775
53	1.00314
54	0.99923
55	0.996006
56	0.993442
57	0.991522
58	0.990225
59	0.989528
60	0.989417
61	0.989875
62	0.990902
63	0.992513
64	0.994743
65	0.997626
66	1.0012
67	1.00548
68	1.01048
69	1.0162
70	1.02261
71	1.02973
72	1.03754
73	1.04603
74	1.05517
75	1.06491
76	1.07519
77	1.08579
78	1.09623
79	1.10595
80	1.11466
81	1.12234
82	1.12904
83	1.13483
84	1.13972
85	1.14371
86	1.1468
87	1.14898
88	1.15019
89	1.15039
90	1.14961
91	1.14788
92	1.14529
93	1.14186
94	1.13763
95	1.13263
96	1.12689
97	1.12049
98	1.11349
99	1.10595
100	1.09796
101	1.08958
102	1.08088
103	1.07201
104	1.0631
105	1.05434
106	1.04595
107	1.0381
108	1.03094
109	1.02451
110	1.01881
111	1.01381
112	1.00953
113	1.00594
114	1.00302
115	1.00075
116	0.999123
117	0.998107
118	0.997682
119	0.997824
120	0.998518
121	0.999755
122	1.00154
123	1.00389
124	1.00682
125	1.01037
126	1.01453
127	1.01928
128	1.02462
129	1.03054
130	1.03703
131	1.0441
132	1.0517
133	1.0598
134	1.0683
135	1.0771
136	1.08604
137	1.09482
138	1.10318
139	1.11099
140	1.11817
141	1.12463
142	1.13028
143	1.13505
144	1.13889
145	1.1418
146	1.14376
147	1.1448
148	1.14491
149	1.1441
150	1.1424
151	1.13983
152	1.13642
153	1.13222
154	1.1273
155	1.12173
156	1.11559
157	1.10896
158	1.10191
159	1.0945
160	1.08683
161	1.07898
162	1.07108
163	1.06323
164	1.0556
165	1.0483
166	1.04147
167	1.03516
168	1.02944
169	1.02433
170	1.01987
171	1.01606
172	1.01291
173	1.01041
174	1.00854
175	1.00728
176	1.00663
177	1.00657
178	1.00707
179	1.00811
180	1.00969
181	1.01178
182	1.01438
183	1.01749
184	1.0211
185	1.02524
186	1.02988
187	1.03501
188	1.04059
189	1.04659
190	1.053
191	1.05978
192	1.06688
193	1.07426
194	1.08181
195	1.08945
196	1.09704
197	1.10445
198	1.11151
199	1.1181
200	1.12405
201	1.12927
202	1.13365
203	1.13715
204	1.13972
205	1.14133
206	1.14198
207	1.14167
208	1.14044
209	1.13832
210	1.13538
211	1.13167
212	1.12726
213	1.12223
214	1.11666
215	1.11063
216	1.10422
217	1.09753
218	1.09063
219	1.08361
220	1.07656
221	1.06956
222	1.06269
223	1.05604
224	1.04967
225	1.04368
226	1.03811
227	1.03303
228	1.02849
229	1.02451
230	1.02112
231	1.01833
232	1.01614
233	1.01456
234	1.01356
235	1.01314
236	1.01328
237	1.01398
238	1.01522
239	1.01698
240	1.01925
241	1.02201
242	1.02525
243	1.02896
244	1.03313
245	1.03774
246	1.04278
247	1.04821
248	1.05401
249	1.06013
250	1.06653
251	1.07316
252	1.07994
253	1.08681
254	1.09366
255	1.10039
256	1.10689
257	1.11304
258	1.11873
259	1.12383
260	1.12826
261	1.13192
262	1.13474
263	1.13668
264	1.13771
265	1.13784
266	1.13708
267	1.13548
268	1.13307
269	1.12992
270	1.1261
271	1.12167
272	1.11672
273	1.11131
274	1.10554
275	1.09949
276	1.09322
277	1.08683
278	1.08039
279	1.07396
280	1.06763
281	1.06146
282	1.05551
283	1.04985
284	1.04453
285	1.03961
286	1.03513
287	1.03113
288	1.02764
289	1.02468
290	1.02228
291	1.02044
292	1.01916
293	1.01845
294	1.01829
295	1.01869
296	1.01963
297	1.02108
298	1.02305
299	1.0255
300	1.02842
301	1.03179
302	1.03559
303	1.0398
304	1.0444
305	1.04935
306	1.05462
307	1.06019
308	1.06601
309	1.07203
310	1.0782
311	1.08445
312	1.0907
313	1.09688
314	1.10288
315	1.10862
316	1.114
317	1.11893
318	1.12329
319	1.12701
320	1.13001
321	1.13222
322	1.13362
323	1.13418
324	1.1339
325	1.1328
326	1.13091
327	1.12829
328	1.12499
329	1.12108
330	1.11665
331	1.11177
332	1.10653
333	1.10101
334	1.09529
335	1.08944
336	1.08352
337	1.07761
338	1.07178
339	1.06607
340	1.06056
341	1.05528
342	1.05029
343	1.04563
344	1.04134
345	1.03745
346	1.034
347	1.03102
348	1.02852
349	1.02651
350	1.02502
351	1.02404
352	1.02359
353	1.02367
354	1.02427
355	1.02539
356	1.02701
357	1.02911
358	1.03169
359	1.03471
360	1.03815
361	1.042
362	1.04621
363	1.05075
364	1.0556
365	1.06071
366	1.06605
367	1.07155
368	1.07717
369	1.08285
370	1.08853
371	1.09414
372	1.09961
373	1.10485
374	1.10979
375	1.11435
376	1.11846
377	1.12204
378	1.12503
379	1.12736
380	1.12899
381	1.12989
382	1.13004
383	1.12945
384	1.12813
385	1.12611
386	1.12343
387	1.12014
388	1.11633
389	1.11206
390	1.10741
391	1.10246
392	1.09728
393	1.09194
394	1.08652
395	1.08109
396	1.0757
397	1.07041
398	1.06528
399	1.06036
400	1.05568
401	1.0513
402	1.04725
403	1.04355
404	1.04024
405	1.03734
406	1.03486
407	1.03283
408	1.03126
409	1.03016
410	1.02953
411	1.02938
412	1.0297
413	1.0305
414	1.03176
415	1.03348
416	1.03564
417	1.03823
418	1.04123
419	1.04461
420	1.04836
421	1.05244
422	1.05681
423	1.06143
424	1.06627
425	1.07126
426	1.07636
427	1.08152
428	1.08669
429	1.09179
430	1.09676
431	1.10155
432	1.10607
433	1.11027
434	1.11408
435	1.11744
436	1.12029
437	1.12259
438	1.12429
439	1.12536
440	1.12577
441	1.12552
442	1.12463
443	1.1231
444	1.12097
445	1.11828
446	1.11508
447	1.11144
448	1.1074
449	1.10304
450	1.09843
451	1.09365
452	1.08875
453	1.08381
454	1.07888
455	1.07402
456	1.06929
457	1.06472
458	1.06037
459	1.05626
460	1.05244
461	1.04892
462	1.04575
463	1.04293
464	1.0405
465	1.03846
466	1.03683
467	1.03561
468	1.03483
469	1.03448
470	1.03456
471	1.03507
472	1.03601
473	1.03736
474	1.03914
475	1.0413
476	1.04385
477	1.04676
478	1.05001
479	1.05357
480	1.05742
481	1.0615
482	1.0658
483	1.07026
484	1.07485
485	1.07949
486	1.08415
487	1.08877
488	1.09328
489	1.09763
490	1.10175
491	1.10559
492	1.10909
493	1.1122
494	1.11487
495	1.11706
496	1.11875
497	1.11991
498	1.12051
499	1.12054
500	1.12001
501	1.11892
502	1.11729
503	1.11516
504	1.11255
505	1.10952
506	1.10612
507	1.10239
508	1.0984
509	1.09421
510	1.08988
511	1.08546
512	1.08101
513	1.07659
514	1.07224
515	1.06801
516	1.06396
517	1.06012
518	1.05652
519	1.05319
520	1.05017
521	1.04747
522	1.04512
523	1.04312
524	1.04151
525	1.04027
526	1.03942
527	1.03896
528	1.03889
529	1.03922
530	1.03993
531	1.04103
532	1.04249
533	1.04432
534	1.0465
535	1.04902
536	1.05185
537	1.05496
538	1.05834
539	1.06195
540	1.06576
541	1.06973
542	1.07381
543	1.07797
544	1.08216
545	1.08632
546	1.0904
547	1.09435
548	1.09813
549	1.10166
550	1.10492
551	1.10784
552	1.11038
553	1.1125
554	1.11418
555	1.11539
556	1.1161
557	1.11631
558	1.11602
559	1.11524
560	1.11399
561	1.11229
562	1.11015
563	1.10763
564	1.10476
565	1.10159
566	1.09817
567	1.09455
568	1.09078
569	1.0869
570	1.08297
571	1.07904
572	1.07515
573	1.07135
574	1.06766
575	1.06414
576	1.06082
577	1.05772
578	1.05487
579	1.0523
580	1.05002
581	1.04806
582	1.04642
583	1.04513
584	1.04419
585	1.0436
586	1.04337
587	1.0435
588	1.04398
589	1.04481
590	1.04599
591	1.04749
592	1.04932
593	1.05145
