Iteration	Durchschnittsdichte
1	0.990918
2	0.991146
3	0.991829
4	0.993389
5	0.995095
6	0.996427
7	0.997302
8	0.997584
9	0.997388
10	0.996854
11	0.99614
12	0.995426
13	0.994735
14	0.994349
15	0.994103
16	0.994081
17	0.994267
18	0.99459
19	0.994968
20	0.995341
21	0.995632
22	0.995795
23	0.995833
24	0.99575
25	0.995586
26	0.995403
27	0.995251
28	0.995136
29	0.995071
30	0.995055
31	0.995078
32	0.995142
33	0.995227
34	0.995317
35	0.995404
36	0.995439
37	0.995451
38	0.995455
39	0.995454
40	0.995449
41	0.995445
42	0.995441
43	0.995439
44	0.995435
45	0.995431
46	0.995427
47	0.995422
48	0.995415
49	0.995408
50	0.9954
51	0.995394
52	0.995389
53	0.995387
54	0.995389
55	0.995394
56	0.995403
57	0.995414
58	0.995427
59	0.995441
60	0.995455
61	0.995466
62	0.995474
63	0.995443
64	0.995401
65	0.995369
66	0.995356
67	0.995357
68	0.995371
69	0.995394
70	0.995423
71	0.995453
72	0.995482
73	0.99547
74	0.995447
75	0.995427
76	0.99542
77	0.995424
78	0.995438
79	0.995455
80	0.995475
81	0.995492
82	0.995511
83	0.995491
84	0.99546
85	0.995438
86	0.995435
87	0.995446
88	0.995468
89	0.995498
90	0.995532
91	0.995532
92	0.995522
93	0.99552
94	0.995529
95	0.995547
96	0.995566
97	0.995587
98	0.995606
99	0.995622
100	0.995636
101	0.995647
102	0.995657
103	0.995664
104	0.99567
105	0.995676
106	0.995683
107	0.995692
108	0.995703
109	0.995716
110	0.995732
111	0.995752
112	0.995774
113	0.995799
114	0.995824
115	0.99585
116	0.995878
117	0.99591
118	0.995943
119	0.995976
120	0.996012
121	0.996049
122	0.996088
123	0.996123
124	0.996155
125	0.996181
126	0.996203
127	0.996222
128	0.996242
129	0.996263
130	0.996285
131	0.99631
132	0.996335
133	0.996359
134	0.996384
135	0.996407
136	0.99643
137	0.996453
138	0.996477
139	0.996503
140	0.996528
141	0.996555
142	0.996582
143	0.996608
144	0.996635
145	0.996697
146	0.996767
147	0.996826
148	0.996866
149	0.996922
150	0.996972
151	0.997034
152	0.997081
153	0.997133
154	0.997199
155	0.99724
156	0.997278
157	0.997319
158	0.997367
159	0.997416
160	0.997466
161	0.997508
162	0.997543
163	0.997569
164	0.997588
165	0.997598
166	0.997603
167	0.997607
168	0.99761
169	0.997613
170	0.99762
171	0.99763
172	0.997646
173	0.997666
174	0.997691
175	0.997719
176	0.997751
177	0.997782
178	0.997813
179	0.997843
180	0.99787
181	0.997894
182	0.997915
183	0.997933
184	0.997949
185	0.997964
186	0.997978
187	0.997993
188	0.998008
189	0.998024
190	0.998042
191	0.998061
192	0.998083
193	0.998107
194	0.998131
195	0.998154
196	0.998176
197	0.998197
198	0.998216
199	0.998234
200	0.99825
201	0.998265
202	0.998281
203	0.998295
204	0.998309
205	0.998323
206	0.998338
207	0.998353
208	0.998368
209	0.998384
210	0.998402
211	0.99842
212	0.998439
213	0.998496
214	0.99856
215	0.998614
216	0.998649
217	0.998664
218	0.998663
219	0.99869
220	0.998757
221	0.998824
222	0.998863
223	0.998906
224	0.998931
225	0.998967
226	0.999024
227	0.999065
228	0.999104
229	0.999154
230	0.999214
231	0.999246
232	0.999267
233	0.999292
234	0.999327
235	0.999371
236	0.999421
237	0.999471
238	0.999519
239	0.99956
240	0.999598
241	0.99963
242	0.999656
243	0.999677
244	0.999696
245	0.999713
246	0.999732
247	0.999752
248	0.999776
249	0.999802
250	0.999832
251	0.999865
252	0.999902
253	0.999942
254	0.999985
255	1.00003
256	1.00008
257	1.00012
258	1.00016
259	1.0002
260	1.00024
261	1.00028
262	1.00032
263	1.00036
264	1.00043
265	1.00051
266	1.00057
267	1.00062
268	1.00069
269	1.00075
270	1.00084
271	1.00091
272	1.00098
273	1.00103
274	1.00109
275	1.00116
276	1.00124
277	1.00134
278	1.00139
279	1.00142
280	1.00145
281	1.00148
282	1.00152
283	1.00157
284	1.00162
285	1.00166
286	1.00169
287	1.00173
288	1.00176
289	1.00179
290	1.00182
291	1.00184
292	1.00186
293	1.00189
294	1.00191
295	1.00194
296	1.00197
297	1.002
298	1.00204
299	1.00207
300	1.00211
301	1.00215
302	1.00219
303	1.00223
304	1.00228
305	1.00232
306	1.00236
307	1.00239
308	1.00243
309	1.0025
310	1.00259
311	1.00266
312	1.00271
313	1.00274
314	1.0028
315	1.0029
316	1.00299
317	1.00305
318	1.00307
319	1.00309
320	1.00314
321	1.00323
322	1.00335
323	1.00343
324	1.00349
325	1.00356
326	1.00362
327	1.00369
328	1.00376
329	1.00382
330	1.00388
331	1.00392
332	1.00395
333	1.00397
334	1.00398
335	1.00399
336	1.004
337	1.00401
338	1.00402
339	1.00404
340	1.00406
341	1.00409
342	1.00412
343	1.00416
344	1.00419
345	1.00423
346	1.00428
347	1.00432
348	1.00436
349	1.0044
350	1.00443
351	1.00446
352	1.00449
353	1.00451
354	1.00453
355	1.00455
356	1.00457
357	1.00458
358	1.0046
359	1.00462
360	1.00464
361	1.00466
362	1.00473
363	1.00481
364	1.00489
365	1.00495
366	1.00498
367	1.005
368	1.00505
369	1.0051
370	1.00514
371	1.0052
372	1.00525
373	1.00532
374	1.00539
375	1.00541
376	1.00545
377	1.00552
378	1.00563
379	1.0057
380	1.00573
381	1.00575
382	1.00579
383	1.00584
384	1.00592
385	1.00602
386	1.00607
387	1.0061
388	1.00612
389	1.00615
390	1.00618
391	1.00623
392	1.00627
393	1.00632
394	1.00635
395	1.00639
396	1.00641
397	1.00644
398	1.00645
399	1.00646
400	1.00647
401	1.00647
402	1.00647
403	1.00648
404	1.00648
405	1.00648
406	1.00649
407	1.0065
408	1.00652
409	1.00653
410	1.00655
411	1.00657
412	1.00659
413	1.00661
414	1.00663
415	1.00665
416	1.00666
417	1.00668
418	1.00669
419	1.0067
420	1.00671
421	1.00672
422	1.00672
423	1.00673
424	1.00673
425	1.00674
426	1.00674
427	1.00674
428	1.00675
429	1.00675
430	1.00676
431	1.00676
432	1.00677
433	1.00678
434	1.00679
435	1.0068
436	1.0068
437	1.00681
438	1.00682
439	1.00682
440	1.00683
441	1.00683
442	1.00683
443	1.00684
444	1.00684
445	1.00684
446	1.00684
447	1.00685
448	1.00685
449	1.00685
450	1.00686
451	1.00686
452	1.00686
453	1.00687
454	1.00688
455	1.00688
456	1.00689
457	1.0069
458	1.0069
459	1.00691
460	1.00692
461	1.00692
462	1.00693
463	1.00694
464	1.00694
465	1.00695
466	1.00695
467	1.00696
468	1.00697
469	1.00697
470	1.00698
471	1.00699
472	1.00699
473	1.007
474	1.00701
475	1.00701
476	1.00702
477	1.00703
478	1.00704
479	1.00705
480	1.00705
481	1.00706
482	1.00707
483	1.00708
484	1.00709
485	1.0071
486	1.00711
487	1.00712
488	1.00713
489	1.00714
490	1.00715
491	1.00716
492	1.00717
493	1.00717
494	1.00718
495	1.00719
496	1.00719
497	1.0072
498	1.00721
499	1.00721
500	1.00722
501	1.00728
502	1.00735
503	1.00741
504	1.00746
505	1.00748
506	1.00747
507	1.00745
508	1.00741
509	1.00737
510	1.00738
511	1.0074
512	1.00743
513	1.00743
514	1.00743
515	1.00746
516	1.0075
517	1.00753
518	1.00755
519	1.00754
520	1.00752
521	1.00753
522	1.00756
523	1.00758
524	1.00763
525	1.00768
526	1.00771
527	1.0077
528	1.00768
529	1.00768
530	1.00773
531	1.00779
532	1.00783
533	1.00782
534	1.00778
535	1.00777
536	1.0078
537	1.00784
538	1.00786
539	1.00784
540	1.00784
541	1.00788
542	1.00792
543	1.00793
544	1.00791
545	1.0079
546	1.00793
547	1.00796
548	1.00796
549	1.00798
550	1.00798
551	1.008
552	1.008
553	1.00798
554	1.00797
555	1.008
556	1.00803
557	1.00803
558	1.00804
559	1.00808
560	1.0081
561	1.00809
562	1.00809
563	1.00807
564	1.00807
565	1.0081
566	1.00812
567	1.00811
568	1.0081
569	1.00812
570	1.00813
571	1.0081
572	1.00809
573	1.0081
574	1.00811
