Iteration	Durchschnittsdichte
1	0.990918
2	0.990931
3	0.991053
4	0.991338
5	0.991655
6	0.992431
7	0.993076
8	0.994183
9	0.995305
10	0.996601
11	0.998051
12	0.999239
13	1.00082
14	1.00207
15	1.00303
16	1.00411
17	1.00476
18	1.00521
19	1.00547
20	1.00556
21	1.0055
22	1.00536
23	1.00514
24	1.00482
25	1.00437
26	1.00377
27	1.00302
28	1.00102
29	1.00052
30	0.999833
31	0.99849
32	0.99708
33	0.995691
34	0.994426
35	0.993321
36	0.992375
37	0.991592
38	0.990972
39	0.99051
40	0.990199
41	0.990028
42	0.989987
43	0.99007
44	0.990291
45	0.990667
46	0.991196
47	0.991881
48	0.992718
49	0.993711
50	0.994842
51	0.996104
52	0.99748
53	0.9989
54	1.00029
55	1.00158
56	1.0027
57	1.00362
58	1.00432
59	1.00483
60	1.00517
61	1.00536
62	1.00538
63	1.00527
64	1.00504
65	1.00469
66	1.00422
67	1.00362
68	1.00287
69	1.00197
70	1.00095
71	0.999824
72	0.998604
73	0.997337
74	0.996083
75	0.994896
76	0.993826
77	0.992887
78	0.992092
79	0.99144
80	0.990927
81	0.990552
82	0.990314
83	0.990211
84	0.990238
85	0.990398
86	0.990703
87	0.991164
88	0.991785
89	0.992563
90	0.993494
91	0.994572
92	0.995565
93	0.997088
94	0.998467
95	0.999841
96	1.00113
97	1.00228
98	1.00323
99	1.00394
100	1.00445
101	1.00479
102	1.00495
103	1.00497
104	1.00486
105	1.00464
106	1.00432
107	1.00388
108	1.00332
109	1.00263
110	1.00183
111	1.00093
112	0.999936
113	0.998866
114	0.997744
115	0.996598
116	0.995477
117	0.994444
118	0.993543
119	0.992782
120	0.992156
121	0.991662
122	0.991298
123	0.991065
124	0.990958
125	0.99098
126	0.991133
127	0.991333
128	0.991853
129	0.99243
130	0.993151
131	0.994003
132	0.994988
133	0.99609
134	0.997275
135	0.998493
136	0.999695
137	1.0008
138	1.00178
139	1.00262
140	1.00331
141	1.00382
142	1.00419
143	1.00443
144	1.00455
145	1.00453
146	1.0044
147	1.00417
148	1.00384
149	1.00338
150	1.0028
151	1.00212
152	1.00133
153	1.00043
154	0.999437
155	0.998379
156	0.997307
157	0.996276
158	0.995328
159	0.994492
160	0.99378
161	0.993199
162	0.992742
163	0.992406
164	0.992191
165	0.992083
166	0.992078
167	0.992169
168	0.992364
169	0.992668
170	0.993098
171	0.993655
172	0.99434
173	0.995148
174	0.996077
175	0.997099
176	0.998165
177	0.99923
178	1.00025
179	1.00121
180	1.00205
181	1.00276
182	1.00332
183	1.00376
184	1.00405
185	1.00423
186	1.00429
187	1.00424
188	1.00409
189	1.00384
190	1.00349
191	1.00303
192	1.00247
193	1.00179
194	1.00099
195	1.00009
196	0.999124
197	0.998127
198	0.99714
199	0.996201
200	0.995342
201	0.994589
202	0.993959
203	0.993456
204	0.993078
205	0.992819
206	0.992676
207	0.992644
208	0.992716
209	0.992886
210	0.993152
211	0.993511
212	0.993969
213	0.994532
214	0.995206
215	0.995993
216	0.996878
217	0.997839
218	0.998839
219	0.999839
220	1.0008
221	1.00168
222	1.00246
223	1.0031
224	1.00362
225	1.004
226	1.00425
227	1.00438
228	1.0044
229	1.00431
230	1.00413
231	1.00385
232	1.00348
233	1.00301
234	1.00244
235	1.00177
236	1.001
237	1.00016
238	0.999257
239	0.998332
240	0.997419
241	0.996549
242	0.995755
243	0.995059
244	0.994484
245	0.994032
246	0.993698
247	0.993479
248	0.993368
249	0.993361
250	0.993455
251	0.993645
252	0.993933
253	0.994318
254	0.994806
255	0.995394
256	0.996079
257	0.996857
258	0.997711
259	0.99862
260	0.999565
261	1.00051
262	1.00141
263	1.00225
264	1.00299
265	1.00361
266	1.00411
267	1.00447
268	1.00471
269	1.00482
270	1.00483
271	1.00473
272	1.00453
273	1.00423
274	1.00384
275	1.00335
276	1.00277
277	1.0021
278	1.00135
279	1.00053
280	0.999662
281	0.998774
282	0.997898
283	0.997062
284	0.996299
285	0.995632
286	0.995077
287	0.994641
288	0.994326
289	0.994128
290	0.99404
291	0.994055
292	0.994167
293	0.994373
294	0.99467
295	0.995061
296	0.995547
297	0.996131
298	0.996808
299	0.997571
300	0.998402
301	0.999288
302	1.0002
303	1.00112
304	1.00201
305	1.00283
306	1.00356
307	1.00418
308	1.00467
309	1.00502
310	1.00524
311	1.00534
312	1.00532
313	1.0052
314	1.00498
315	1.00466
316	1.00425
317	1.00376
318	1.00318
319	1.00252
320	1.00179
321	1.001
322	1.00016
323	0.999309
324	0.998465
325	0.997658
326	0.996916
327	0.996262
328	0.995716
329	0.995288
330	0.994983
331	0.994799
332	0.994731
333	0.994768
334	0.994903
335	0.995133
336	0.995454
337	0.995864
338	0.996363
339	0.996953
340	0.997627
341	0.998381
342	0.999199
343	1.00007
344	1.00096
345	1.00185
346	1.00272
347	1.00352
348	1.00423
349	1.00483
350	1.00531
351	1.00565
352	1.00585
353	1.00593
354	1.0059
355	1.00576
356	1.00552
357	1.0052
358	1.00478
359	1.00428
360	1.00371
361	1.00305
362	1.00233
363	1.00155
364	1.00074
365	0.999905
366	0.999085
367	0.998302
368	0.997583
369	0.996952
370	0.996427
371	0.996022
372	0.995739
373	0.99558
374	0.995536
375	0.995602
376	0.99577
377	0.996034
378	0.996389
379	0.996824
380	0.997344
381	0.99794
382	0.998619
383	0.99937
384	1.00018
385	1.00104
386	1.00192
387	1.00279
388	1.00363
389	1.00442
390	1.00511
391	1.0057
392	1.00616
393	1.00648
394	1.00667
395	1.00673
396	1.00668
397	1.00652
398	1.00626
399	1.00591
400	1.00548
401	1.00498
402	1.00441
403	1.00376
404	1.00306
405	1.0023
406	1.00152
407	1.00072
408	0.99993
409	0.999182
410	0.998496
411	0.997897
412	0.9974
413	0.99702
414	0.996761
415	0.996627
416	0.99661
417	0.996705
418	0.996899
419	0.997185
420	0.997554
421	0.998004
422	0.998533
423	0.999137
424	0.999812
425	1.00055
426	1.00134
427	1.00218
428	1.00303
429	1.00387
430	1.00468
431	1.00542
432	1.00608
433	1.00663
434	1.00705
435	1.00735
436	1.00751
437	1.00754
438	1.00746
439	1.00727
440	1.00699
441	1.00663
442	1.00619
443	1.00567
444	1.00509
445	1.00445
446	1.00375
447	1.003
448	1.00222
449	1.00144
450	1.00066
451	0.999923
452	0.99925
453	0.998662
454	0.998178
455	0.99781
456	0.997564
457	0.997442
458	0.997436
459	0.997542
460	0.997746
461	0.99804
462	0.998416
463	0.998867
464	0.999392
465	0.999986
466	1.00065
467	1.00137
468	1.00213
469	1.00294
470	1.00375
471	1.00455
472	1.00532
473	1.00602
474	1.00664
475	1.00715
476	1.00754
477	1.00781
478	1.00794
479	1.00795
480	1.00785
481	1.00765
482	1.00736
483	1.00699
484	1.00654
485	1.00603
486	1.00545
487	1.00481
488	1.00411
489	1.00338
490	1.00262
491	1.00186
492	1.00111
493	1.0004
494	0.999752
495	0.999187
496	0.998729
497	0.998382
498	0.998155
499	0.998047
500	0.998055
501	0.998167
502	0.998375
503	0.998671
504	0.999045
505	0.999496
506	1.00002
507	1.00061
508	1.00127
509	1.00198
510	1.00273
511	1.00352
512	1.0043
513	1.00508
514	1.00582
515	1.00649
516	1.00708
517	1.00756
518	1.00792
519	1.00816
520	1.00828
521	1.00828
522	1.00817
523	1.00796
524	1.00767
525	1.0073
526	1.00686
527	1.00635
528	1.00578
529	1.00515
530	1.00446
531	1.00374
532	1.003
533	1.00225
534	1.00152
535	1.00084
536	1.00022
537	0.999679
538	0.999241
539	0.998916
540	0.998706
541	0.99861
542	0.998627
543	0.998749
544	0.998966
545	0.999272
546	0.999658
547	1.00012
548	1.00065
549	1.00124
550	1.0019
551	1.00261
552	1.00336
553	1.00413
554	1.0049
555	1.00566
556	1.00637
557	1.00701
558	1.00757
559	1.00802
560	1.00835
561	1.00857
562	1.00866
563	1.00864
564	1.00852
565	1.0083
566	1.008
567	1.00763
568	1.00717
569	1.00665
570	1.00606
571	1.00542
572	1.00473
573	1.00401
574	1.00327
575	1.00253
576	1.00182
577	1.00116
578	1.00057
579	1.00006
580	0.999661
581	0.999369
582	0.999191
583	0.999126
584	0.999168
585	0.999311
586	0.999544
587	0.999864
588	1.00026
589	1.00073
590	1.00127
591	1.00187
592	1.00254
593	1.00325
594	1.00399
595	1.00476
596	1.00552
597	1.00625
598	1.00693
599	1.00755
600	1.00807
601	1.00849
602	1.0088
603	1.00899
604	1.00905
605	1.00901
606	1.00887
607	1.00864
608	1.00832
609	1.00792
610	1.00746
611	1.00692
612	1.00633
613	1.00568
614	1.005
615	1.00428
616	1.00356
617	1.00284
618	1.00216
619	1.00152
620	1.00096
621	1.00049
622	1.00012
623	0.999857
624	0.999708
625	0.999669
626	0.999738
627	0.999904
628	1.00016
629	1.0005
630	1.00092
631	1.00141
632	1.00196
633	1.00258
634	1.00324
635	1.00396
636	1.0047
637	1.00545
638	1.0062
639	1.00691
640	1.00757
641	1.00816
642	1.00866
643	1.00905
644	1.00933
645	1.00949
646	1.00954
647	1.00947
648	1.00931
649	1.00905
650	1.00871
651	1.0083
652	1.00782
653	1.00728
654	1.00668
655	1.00603
656	1.00535
657	1.00464
658	1.00393
659	1.00323
660	1.00257
661	1.00196
662	1.00142
663	1.00097
664	1.00062
665	1.00038
666	1.00026
667	1.00024
668	1.00033
669	1.00052
670	1.00079
671	1.00115
672	1.00158
673	1.00208
674	1.00265
675	1.00327
676	1.00394
677	1.00465
678	1.00538
679	1.00612
680	1.00685
681	1.00754
682	1.00817
683	1.00873
684	1.00919
685	1.00955
686	1.0098
687	1.00994
688	1.00996
689	1.00987
690	1.00968
691	1.00941
692	1.00905
693	1.00862
694	1.00812
695	1.00757
696	1.00697
697	1.00632
698	1.00564
699	1.00494
700	1.00425
701	1.00357
702	1.00293
703	1.00235
704	1.00184
705	1.00142
706	1.0011
707	1.00088
708	1.00078
709	1.00078
710	1.00089
711	1.00109
712	1.00138
713	1.00176
714	1.0022
715	1.00272
716	1.00329
717	1.00391
718	1.00458
719	1.00527
720	1.00599
721	1.00671
722	1.00741
723	1.00807
724	1.00868
725	1.00921
726	1.00965
727	1.00998
728	1.0102
729	1.01031
730	1.0103
731	1.0102
732	1.00999
733	1.00969
734	1.00932
735	1.00887
736	1.00836
737	1.0078
738	1.00719
739	1.00654
740	1.00586
741	1.00518
742	1.00449
743	1.00383
744	1.00321
745	1.00265
746	1.00216
747	1.00176
748	1.00146
749	1.00126
750	1.00117
751	1.00118
752	1.0013
753	1.00151
754	1.00181
755	1.00219
756	1.00264
757	1.00315
758	1.00372
759	1.00434
760	1.005
761	1.00569
762	1.00639
763	1.00708
764	1.00776
765	1.00839
766	1.00897
767	1.00947
768	1.00988
769	1.01019
770	1.01039
771	1.01048
772	1.01046
773	1.01034
774	1.01012
775	1.00982
776	1.00944
777	1.00899
778	1.00848
779	1.00792
780	1.00731
781	1.00667
782	1.00601
783	1.00534
784	1.00468
785	1.00405
786	1.00345
787	1.00292
788	1.00245
789	1.00208
790	1.0018
791	1.00162
792	1.00155
793	1.00158
794	1.00171
795	1.00193
796	1.00224
797	1.00262
798	1.00307
799	1.00358
800	1.00415
801	1.00476
802	1.00541
803	1.00608
804	1.00676
805	1.00743
806	1.00808
807	1.00869
808	1.00924
809	1.00971
810	1.0101
811	1.01039
812	1.01058
813	1.01065
814	1.01062
815	1.01049
816	1.01027
817	1.00997
818	1.00958
819	1.00913
820	1.00863
821	1.00807
822	1.00747
823	1.00685
824	1.00621
825	1.00556
826	1.00492
827	1.00431
828	1.00375
829	1.00324
830	1.00281
831	1.00246
832	1.0022
833	1.00204
834	1.00199
835	1.00203
836	1.00217
837	1.0024
838	1.00271
839	1.0031
840	1.00355
841	1.00407
842	1.00463
843	1.00524
844	1.00588
845	1.00653
846	1.00719
847	1.00784
848	1.00847
849	1.00905
850	1.00958
851	1.01003
852	1.01039
853	1.01066
854	1.01082
855	1.01088
856	1.01084
857	1.0107
858	1.01047
859	1.01016
860	1.00978
861	1.00933
862	1.00883
863	1.00827
864	1.00768
865	1.00707
866	1.00644
867	1.00581
868	1.00519
869	1.00461
870	1.00406
871	1.00358
872	1.00316
873	1.00283
874	1.00259
875	1.00245
876	1.0024
877	1.00245
878	1.0026
879	1.00283
880	1.00314
881	1.00353
882	1.00399
883	1.0045
884	1.00506
885	1.00566
886	1.00629
887	1.00693
888	1.00758
889	1.00821
890	1.00882
891	1.00938
892	1.00988
893	1.01031
894	1.01065
895	1.0109
896	1.01105
897	1.0111
898	1.01105
899	1.0109
900	1.01067
901	1.01036
902	1.00997
903	1.00952
904	1.00901
905	1.00846
906	1.00788
907	1.00727
908	1.00665
909	1.00604
910	1.00544
911	1.00487
912	1.00435
913	1.00388
914	1.00349
915	1.00318
916	1.00296
917	1.00283
918	1.0028
919	1.00287
920	1.00302
921	1.00327
922	1.00359
923	1.00399
924	1.00445
925	1.00497
926	1.00554
927	1.00614
928	1.00677
929	1.00741
930	1.00804
931	1.00866
932	1.00925
933	1.00979
934	1.01027
935	1.01067
936	1.011
937	1.01122
938	1.01135
939	1.01137
940	1.01131
941	1.01114
942	1.01089
943	1.01056
944	1.01016
945	1.0097
946	1.00919
947	1.00863
948	1.00804
949	1.00743
950	1.00681
951	1.0062
952	1.0056
953	1.00505
954	1.00454
955	1.00409
956	1.00372
957	1.00342
958	1.00322
959	1.00311
960	1.0031
961	1.00317
962	1.00334
963	1.0036
964	1.00393
965	1.00434
966	1.0048
967	1.00532
968	1.00588
969	1.00648
970	1.0071
971	1.00773
972	1.00835
973	1.00896
974	1.00952
975	1.01004
976	1.0105
977	1.01088
978	1.01117
979	1.01137
980	1.01148
981	1.01149
982	1.0114
983	1.01123
984	1.01096
985	1.01063
986	1.01022
987	1.00976
988	1.00924
989	1.00868
990	1.00809
991	1.00749
992	1.00688
993	1.00627
994	1.0057
995	1.00516
996	1.00467
997	1.00425
998	1.00389
999	1.00363
1000	1.00345
1001	1.00336
1002	1.00336
1003	1.00346
1004	1.00364
1005	1.00391
1006	1.00425
1007	1.00465
1008	1.00512
1009	1.00564
1010	1.00621
1011	1.0068
1012	1.00741
1013	1.00803
1014	1.00864
1015	1.00923
1016	1.00978
1017	1.01028
1018	1.01071
1019	1.01106
1020	1.01133
1021	1.01151
