Simulationsschritt	Durchschnittsdichte
0	1.00084
1	1.00082
2	1.00079
3	1.00076
4	1.00075
5	1.00074
6	1.00072
7	1.00071
8	1.0007
9	1.00069
10	1.00068
11	1.00068
12	1.00068
13	1.00068
14	1.00068
15	1.00069
16	1.00069
17	1.00071
18	1.00071
19	1.00072
20	1.00074
21	1.00075
22	1.00076
23	1.00077
24	1.00079
25	1.00081
26	1.00082
27	1.00084
28	1.00086
29	1.00088
30	1.0009
31	1.00093
32	1.00096
33	1.00099
34	1.00102
35	1.00105
36	1.00108
37	1.00111
38	1.00114
39	1.00117
40	1.00119
41	1.00122
42	1.00124
43	1.00126
44	1.00127
45	1.00129
46	1.00129
47	1.0013
48	1.00131
49	1.00131
50	1.00131
51	1.00131
52	1.0013
53	1.00129
54	1.00128
55	1.00128
56	1.00126
57	1.00125
58	1.00123
59	1.00121
60	1.0012
61	1.00118
62	1.00118
63	1.00118
64	1.00119
65	1.00119
66	1.00119
67	1.00119
68	1.0012
69	1.0012
70	1.00121
71	1.00121
72	1.00121
73	1.00121
74	1.00121
75	1.00121
76	1.00121
77	1.00122
78	1.00122
79	1.00122
80	1.00123
81	1.00123
82	1.00123
83	1.00123
84	1.00122
85	1.00122
86	1.00121
87	1.0012
88	1.00119
89	1.00117
90	1.00116
91	1.00114
92	1.00112
93	1.0011
94	1.00108
95	1.00106
96	1.00103
97	1.001
98	1.00098
99	1.00095
100	1.00092
101	1.00089
102	1.00086
103	1.00084
104	1.00082
105	1.00081
106	1.0008
107	1.00079
108	1.00079
109	1.00078
110	1.00078
111	1.00077
112	1.00076
113	1.00076
114	1.00075
115	1.00074
116	1.00073
117	1.00072
118	1.00072
119	1.00071
120	1.00071
121	1.00071
122	1.00071
123	1.00071
124	1.0007
125	1.0007
126	1.0007
127	1.00069
128	1.00069
129	1.00069
130	1.00069
131	1.00069
132	1.0007
133	1.0007
134	1.0007
135	1.00069
136	1.0007
137	1.0007
138	1.0007
139	1.00071
140	1.00072
141	1.00073
142	1.00074
143	1.00074
144	1.00074
145	1.00073
146	1.00073
147	1.00074
148	1.00075
149	1.00075
150	1.00075
151	1.00076
152	1.00077
153	1.00079
154	1.0008
155	1.00081
156	1.00083
157	1.00084
158	1.00086
159	1.00087
160	1.00089
161	1.0009
162	1.00092
163	1.00093
164	1.00095
165	1.00097
166	1.00099
167	1.00101
168	1.00103
169	1.00105
170	1.00107
171	1.00109
172	1.00111
173	1.00113
174	1.00115
175	1.00116
176	1.00117
177	1.00117
178	1.00118
179	1.00119
180	1.0012
181	1.00122
182	1.00123
183	1.00124
184	1.00126
